time,window
2021-11-12 18:17:47.026,cmd.exe
2021-11-12 18:17:54.031,SearchApp.exe
2021-11-12 18:18:16.046,cmd.exe
2021-11-12 18:18:21.052,SearchApp.exe
2021-11-12 18:18:50.083,notepad++.exe
2021-11-12 18:18:51.084,SearchApp.exe
2021-11-12 18:18:56.089,chrome.exe
2021-11-12 18:19:05.094,SearchApp.exe
2021-11-12 18:19:08.095,explorer.exe
2021-11-12 18:19:32.109,SearchApp.exe
2021-11-12 18:19:36.115,chrome.exe
2021-11-12 18:19:38.119,SearchApp.exe
2021-11-12 18:19:48.125,explorer.exe
2021-11-12 18:20:04.133,ApplicationFrameHost.exe
2021-11-12 18:20:26.146,explorer.exe
2021-11-12 18:20:37.153,explorer.exe
2021-11-12 18:20:38.156,chrome.exe
2021-11-12 18:21:07.171,explorer.exe
2021-11-12 18:21:14.174,cmd.exe
2021-11-12 18:21:17.179,SearchApp.exe
2021-11-12 18:21:40.198,chrome.exe
2021-11-12 18:21:49.204,explorer.exe
2021-11-12 18:22:10.214,chrome.exe
2021-11-12 18:22:14.223,explorer.exe
2021-11-12 18:22:15.223,SearchApp.exe
2021-11-12 18:22:20.229,chrome.exe
2021-11-12 18:22:27.234,SearchApp.exe
2021-11-12 18:22:28.236,explorer.exe
2021-11-12 18:23:22.270,chrome.exe
2021-11-12 18:23:25.272,cmd.exe
2021-11-12 18:23:27.275,chrome.exe
2021-11-12 18:23:33.279,cmd.exe
2021-11-12 18:23:39.282,explorer.exe
2021-11-12 18:23:46.286,Code.exe
2021-11-12 18:24:26.316,explorer.exe
2021-11-12 18:24:29.317,CodeSetup-stable-3a6960b964327f0e3882ce18fcebd07ed191b316.tmp
2021-11-12 18:24:34.320,explorer.exe
2021-11-12 18:24:36.321,cmd.exe
2021-11-12 18:24:39.332,explorer.exe
2021-11-12 18:24:44.336,Code.exe
2021-11-12 18:25:09.351,Teams.exe
2021-11-12 18:25:42.368,Code.exe
2021-11-12 18:25:50.389,explorer.exe
2021-11-12 18:25:52.392,cmd.exe
2021-11-12 18:25:55.395,explorer.exe
2021-11-12 18:26:04.399,Code.exe
2021-11-12 18:26:07.403,explorer.exe
2021-11-12 18:26:34.421,cmd.exe
2021-11-12 18:26:38.424,explorer.exe
2021-11-12 18:26:39.426,Teams.exe
2021-11-12 18:29:59.532,explorer.exe
2021-11-12 18:30:42.559,cmd.exe
2021-11-12 18:31:24.586,SearchApp.exe
2021-11-12 18:31:31.592,Teams.exe
2021-11-12 18:31:37.596,SearchApp.exe
2021-11-12 18:32:06.611,Teams.exe
2021-11-12 18:32:12.630,SearchApp.exe
2021-11-12 18:32:34.641,cmd.exe
2021-11-12 18:32:37.644,cmd.exe
2021-11-12 18:32:39.646,chrome.exe
2021-11-12 18:33:23.670,explorer.exe
2021-11-12 18:33:25.673,Teams.exe
2021-11-12 18:33:47.699,chrome.exe
2021-11-12 18:49:07.253,LockApp.exe
2021-11-12 18:50:19.871,chrome.exe
2021-11-12 18:52:01.776,LockApp.exe
2021-11-12 18:52:03.787,chrome.exe
2021-11-12 18:52:12.902,explorer.exe
2021-11-12 18:52:14.919,cmd.exe
2021-11-12 18:52:38.139,explorer.exe
2021-11-12 18:52:42.165,devenv.exe
2021-11-12 18:53:31.577,Teams.exe
2021-11-12 18:55:21.530,devenv.exe
2021-11-12 18:55:45.712,HxOutlook.exe
2021-11-12 19:00:13.460,devenv.exe
2021-11-12 19:00:14.485,explorer.exe
2021-11-12 19:00:16.512,explorer.exe
2021-11-12 19:00:27.627,Code.exe
2021-11-12 19:00:42.866,explorer.exe
2021-11-12 19:00:58.989,EXCEL.EXE
2021-11-12 19:01:32.241,explorer.exe
2021-11-12 19:01:34.258,devenv.exe
2021-11-12 19:03:02.785,chrome.exe
2021-11-12 19:03:04.802,devenv.exe
2021-11-12 19:03:17.901,explorer.exe
2021-11-12 19:03:23.957,EXCEL.EXE
2021-11-12 19:03:39.042,ApplicationFrameHost.exe
2021-11-12 19:04:11.324,chrome.exe
2021-11-12 19:04:14.369,Teams.exe
2021-11-12 19:05:10.865,EXCEL.EXE
2021-11-12 19:05:16.923,Teams.exe
2021-11-12 19:05:41.153,EXCEL.EXE
2021-11-12 19:05:43.176,Teams.exe
2021-11-12 19:05:45.189,chrome.exe
2021-11-12 19:06:25.518,HxOutlook.exe
2021-11-12 19:06:27.524,explorer.exe
2021-11-12 19:06:28.536,Teams.exe
2021-11-12 19:06:30.565,EXCEL.EXE
2021-11-12 19:06:31.573,Teams.exe
2021-11-12 19:06:33.601,EXCEL.EXE
2021-11-12 19:06:34.603,devenv.exe
2021-11-12 19:06:38.652,EXCEL.EXE
2021-11-12 19:07:17.971,Teams.exe
2021-11-12 19:07:30.088,EXCEL.EXE
2021-11-12 19:07:32.106,HxOutlook.exe
2021-11-12 19:08:07.395,Teams.exe
2021-11-12 19:13:45.071,devenv.exe
2021-11-12 19:13:46.081,EXCEL.EXE
2021-11-12 19:13:50.109,devenv.exe
2021-11-12 19:13:51.112,Teams.exe
2021-11-12 19:14:04.213,explorer.exe
2021-11-12 19:14:10.258,Teams.exe
2021-11-12 19:19:32.653,HxOutlook.exe
2021-11-12 19:19:51.826,Teams.exe
