MEASUREMENT_TIME,VALUE,ID_INPUT,PRIVATE_DATA
26:06.1,cmd.exe,0,0
26:15.1,explorer.exe,0,0
26:16.6,devenv.exe,0,0
27:18.6,Teams.exe,0,0
27:20.6,Teams.exe,0,0
27:23.1,devenv.exe,0,0
27:27.1,devenv.exe,0,0
27:27.6,devenv.exe,0,0
27:28.1,devenv.exe,0,0
27:28.6,devenv.exe,0,0
27:31.6,explorer.exe,0,0
27:39.1,explorer.exe,0,0
27:40.1,OUTLOOK.EXE,0,0
27:47.6,OUTLOOK.EXE,0,0
27:54.1,Teams.exe,0,0
27:57.6,OUTLOOK.EXE,0,0
28:01.1,explorer.exe,0,0
28:02.6,OUTLOOK.EXE,0,0
29:43.6,Teams.exe,0,0
29:44.6,Teams.exe,0,0
29:53.1,Teams.exe,0,0
29:56.6,Teams.exe,0,0
29:57.1,Teams.exe,0,0
29:57.6,Teams.exe,0,0
30:00.1,OUTLOOK.EXE,0,0
30:02.1,OUTLOOK.EXE,0,0
30:08.1,OUTLOOK.EXE,0,0
30:12.6,OUTLOOK.EXE,0,0
30:14.1,OUTLOOK.EXE,0,0
30:15.6,OUTLOOK.EXE,0,0
30:17.6,OUTLOOK.EXE,0,0
30:31.1,chrome.exe,0,0
30:34.1,chrome.exe,0,0
30:58.1,explorer.exe,0,0
32:02.6,chrome.exe,0,0
36:16.6,chrome.exe,0,0
36:17.1,chrome.exe,0,0
36:17.6,chrome.exe,0,0
37:17.6,Teams.exe,0,0
37:25.6,chrome.exe,0,0
38:03.6,explorer.exe,0,0
38:08.6,Teams.exe,0,0
38:09.1,Teams.exe,0,0
38:12.1,Teams.exe,0,0
41:34.6,explorer.exe,0,0
41:43.6,POWERPNT.EXE,0,0
41:52.1,POWERPNT.EXE,0,0
41:53.6,POWERPNT.EXE,0,0
42:14.6,POWERPNT.EXE,0,0
42:16.1,POWERPNT.EXE,0,0
42:36.6,POWERPNT.EXE,0,0
42:38.1,POWERPNT.EXE,0,0
42:42.1,POWERPNT.EXE,0,0
42:45.1,POWERPNT.EXE,0,0
44:13.1,POWERPNT.EXE,0,0
44:14.1,POWERPNT.EXE,0,0
44:15.6,POWERPNT.EXE,0,0
44:16.6,POWERPNT.EXE,0,0
48:03.1,explorer.exe,0,0
48:05.6,OUTLOOK.EXE,0,0
48:52.1,OUTLOOK.EXE,0,0
49:29.6,Teams.exe,0,0
49:32.6,Teams.exe,0,0
49:38.6,OUTLOOK.EXE,0,0
51:05.6,OUTLOOK.EXE,0,0
51:07.1,OUTLOOK.EXE,0,0
51:32.1,Teams.exe,0,0
51:39.1,POWERPNT.EXE,0,0
51:40.6,Teams.exe,0,0
51:41.6,chrome.exe,0,0
51:58.1,Teams.exe,0,0
52:01.1,Teams.exe,0,0
52:04.6,OUTLOOK.EXE,0,0
53:21.6,Teams.exe,0,0
53:23.6,Teams.exe,0,0
54:10.6,Teams.exe,0,0
54:14.6,Teams.exe,0,0
56:27.1,explorer.exe,0,0
56:28.1,OUTLOOK.EXE,0,0
56:46.6,OUTLOOK.EXE,0,0
59:24.6,OUTLOOK.EXE,0,0
00:06.6,OUTLOOK.EXE,0,0
00:11.6,OUTLOOK.EXE,0,0
00:13.1,OUTLOOK.EXE,0,0
00:20.1,OUTLOOK.EXE,0,0
00:22.1,Teams.exe,0,0
02:07.6,Teams.exe,0,0
02:14.1,OUTLOOK.EXE,0,0
02:38.6,Teams.exe,0,0
02:40.6,OUTLOOK.EXE,0,0
05:59.1,explorer.exe,0,0
06:01.1,OUTLOOK.EXE,0,0
06:03.1,POWERPNT.EXE,0,0
06:07.1,OUTLOOK.EXE,0,0
06:11.6,POWERPNT.EXE,0,0
06:14.1,OUTLOOK.EXE,0,0
06:25.1,OUTLOOK.EXE,0,0
06:27.1,OUTLOOK.EXE,0,0
06:30.6,FoxitReader.exe,0,0
06:34.6,OUTLOOK.EXE,0,0
06:49.6,explorer.exe,0,0
06:55.1,OUTLOOK.EXE,0,0
06:58.1,OUTLOOK.EXE,0,0
06:58.6,OUTLOOK.EXE,0,0
06:59.6,explorer.exe,0,0
07:00.6,OUTLOOK.EXE,0,0
07:03.6,OUTLOOK.EXE,0,0
07:05.6,OUTLOOK.EXE,0,0
07:06.1,OUTLOOK.EXE,0,0
07:11.1,OUTLOOK.EXE,0,0
07:43.1,OUTLOOK.EXE,0,0
07:46.6,explorer.exe,0,0
07:55.6,Teams.exe,0,0
08:16.6,explorer.exe,0,0
08:17.1,OUTLOOK.EXE,0,0
52:16.6,LockApp.exe,0,0
52:21.1,OUTLOOK.EXE,0,0
52:27.1,explorer.exe,0,0
52:28.6,OUTLOOK.EXE,0,0
52:41.6,chrome.exe,0,0
52:49.1,chrome.exe,0,0
01:03.1,Teams.exe,0,0
01:03.6,Teams.exe,0,0
01:14.1,chrome.exe,0,0
01:16.6,Teams.exe,0,0
01:17.1,Teams.exe,0,0
01:18.6,Teams.exe,0,0
01:33.6,chrome.exe,0,0
01:35.6,chrome.exe,0,0
01:40.6,explorer.exe,0,0
01:43.1,POWERPNT.EXE,0,0
01:45.1,POWERPNT.EXE,0,0
01:49.1,POWERPNT.EXE,0,0
01:56.6,FoxitReader.exe,0,0
01:58.6,FoxitReader.exe,0,0
02:34.6,POWERPNT.EXE,0,0
02:41.6,POWERPNT.EXE,0,0
02:43.6,POWERPNT.EXE,0,0
02:46.1,POWERPNT.EXE,0,0
