,frequency,look_back,num_nodes,batch_size,accuracy,balanced_accuracy,weighted_f1_score,weighted_precision,weighted_recall
0,30s,3,8,6,0.9521427955505735,0.547114873345487,0.9549947750154738,0.9807491908263405,0.9521427955505735
1,30s,3,8,12,0.9521427955505735,0.691473340823336,0.9524556051416093,0.9589656594356513,0.9521427955505735
2,30s,3,8,18,0.9521427955505735,0.6755957955339086,0.9526296922509273,0.9632144876001045,0.9521427955505735
3,30s,3,16,6,0.9521427955505735,0.5328809076186005,0.9521427955505735,0.9521427955505735,0.9521427955505735
4,30s,3,16,12,0.9521427955505735,0.4995741875626045,0.9521584735864291,0.9521772872294558,0.9521427955505735
5,30s,3,16,18,0.9521427955505735,0.5546142042694577,0.9524706524798177,0.9588715472392286,0.9521427955505735
6,30s,3,32,6,0.9838751401224455,0.5948755167830211,0.9838751401224455,0.9838751401224455,0.9838751401224455
7,30s,3,32,12,0.9838751401224455,0.5598828393251962,0.9838751401224455,0.9838751401224455,0.9838751401224455
8,30s,3,32,18,0.9521427955505735,0.5639618570153961,0.9521772872294558,0.9522290247477796,0.9521427955505735
9,30s,6,8,6,0.9443677764360876,0.5094649849117502,0.9444103281085353,0.9444529141245445,0.9443677764360876
10,30s,6,8,12,0.9443677764360876,0.6127812050937916,0.9581975577503287,0.9763997094438949,0.9443677764360876
11,30s,6,8,18,0.9443677764360876,0.539455173487237,0.9520746269899875,0.9748152048667256,0.9443677764360876
12,30s,6,16,6,0.944454027945489,0.5459035225450253,0.9445389604922246,0.9446239143333184,0.944454027945489
13,30s,6,16,12,0.9443677764360876,0.5459122007902374,0.9443677764360876,0.9443677764360876,0.9443677764360876
14,30s,6,16,18,0.9443677764360876,0.5847602112090259,0.9445167906253057,0.9446693987016568,0.9443677764360876
15,30s,6,32,6,0.9760220803864068,0.5391626336175253,0.9761070237443117,0.9761919883992854,0.9760220803864068
16,30s,6,32,12,0.9760220803864068,0.5391626336175253,0.9761070237443117,0.9761919883992854,0.9760220803864068
17,30s,6,32,18,0.9443677764360876,0.4750690090247911,0.944392419724488,0.9444252774423552,0.9443677764360876
18,30s,10,8,6,0.9352890422778257,0.5020315163657576,0.9353660956107284,0.9354439774740925,0.9352890422778257
19,30s,10,8,12,0.9362381363244175,0.5824327645352524,0.9516664208207843,0.967815450475899,0.9362381363244175
20,30s,10,8,18,0.9354616048317516,0.5868202999159751,0.9397389623109955,0.9575883510728359,0.9354616048317516
21,30s,10,16,6,0.9352890422778257,0.46919952127638476,0.9352890422778257,0.9352890422778257,0.9352890422778257
22,30s,10,16,12,0.9354616048317516,0.49058349156577896,0.9378654690220661,0.959161064327018,0.9354616048317516
